N/A,Sample1,0,in standardized format,"IR 88888#IR 88888-UBN 3#IR 88888-UBN 3-4",IR 88888-UBN 3-4,1,in standardized format,"Sample3",Sample3,
N/A,Samplex,2,in standardized format,"IR 3000001#IR 3000001-UBN 3",IR 3000001-UBN 3,3,in standardized format,"IR 64#IR 64-64#IR 64-64-4B",IR 64-64-4B,
N/A,Sample2,4,in standardized format,"IR05U121",IR05U121,5,in standardized format,"IR06H101S",IR06H101S,
N/A,Sample3,6,in standardized format,"IR06H101",IR06H101,7,in standardized format,"IR 88888#IR 88888-C3#IR 88888-C3-11",IR 88888-C3-11,
N/A,Sample4,8,in standardized format,"IR 88888#IR 88888-UBN 3#IR 88888-UBN 3-4B#IR 88888-UBN 3-4B-897",IR 88888-UBN 3-4B-897,9,in standardized format,"IR 64#IR 64-64#IR 64-64-4B",IR 64-64-4B,
N/A,Sample5,10,"IR 9-AJY 7K^-4B-7777	;string pattern not recognized. #",N/A,IR 9-AJY 7K-4B-7777,11,in standardized format,"IR 64",IR 64,
N/A,IR02A127/IR10F630,12,in standardized format,"IR02A127",IR02A127,13,in standardized format,"IR10F629",IR10F629,
N/A,IR02A127/IR10F699,14,in standardized format,"IR02A127",IR02A127,15,in standardized format,"IR10F630",IR10F630,
N/A,IR02A496/ASD 1,16,in standardized format,"IR02A127",IR02A127,17,in standardized format,"IR10F699",IR10F699,
N/A,IR02A496/CIHERANG,18,in standardized format,"IR02A496",IR02A496,19,in standardized format,"ASD 1",ASD 1,
N/A,IR02A496/INMAYEBAW,20,in standardized format,"IR02A496",IR02A496,21,in standardized format,"CIHERANG",CIHERANG,
N/A,IR04A115/IR06F148,22,in standardized format,"IR02A496",IR02A496,23,in standardized format,"INMAYEBAW",INMAYEBAW,
N/A,IR04A115/IR06F393,24,in standardized format,"IR04A115",IR04A115,25,in standardized format,"IR06F148",IR06F148,
N/A,IR04A115/IR06F459,26,in standardized format,"IR04A115",IR04A115,27,in standardized format,"IR06F393",IR06F393,
N/A,IRRI 151/IRRI 149,28,in standardized format,"IR04A115",IR04A115,29,in standardized format,"IR06F459",IR06F459,
N/A,IRRI 151/IR07F297,30,in standardized format,"IRRI 151",IRRI 151,31,in standardized format,"IRRI 149",IRRI 149,
N/A,IRRI 151/IR10F221,32,in standardized format,"IRRI 151",IRRI 151,33,in standardized format,"IR07F297",IR07F297,
N/A,IR05N412/IR10F379,34,in standardized format,"IRRI 151",IRRI 151,35,in standardized format,"IR10F221",IR10F221,
N/A,IR05N412/IR10F382,36,in standardized format,"IR05N412",IR05N412,37,in standardized format,"IR10F379",IR10F379,
N/A,IR05N412/IR10F388,38,in standardized format,"IR05N412",IR05N412,39,in standardized format,"IR10F382",IR10F382,
N/A,IR05N419/IR10F402,40,in standardized format,"IR05N412",IR05N412,41,in standardized format,"IR10F388",IR10F388,
N/A,IR05N419/IR 87707-446-B-B-B,42,in standardized format,"IR05N419",IR05N419,43,in standardized format,"IR10F402",IR10F402,
