Sample1;IR88888-UBN3-4;Sample3;
Samplex;IR3000001 - UBN3;IR64 - 64 -4B ;
Sample2;IR05U121;IR06H101S;
Sample3;IR06H101;IR 88888-C3-11;
Sample4;IR88888 - UBN3 -4 B- 897 ;IR64 - 64 -4B ;
Sample5;IR9 - AJY7K-4B -7777;IR 64;
IR02A127/IR10F630;IR02A127;IR10F629;
IR02A127/IR10F699;IR02A127;IR10F630;
IR02A496/ASD 1;IR02A127;IR10F699;
IR02A496/CIHERANG;IR02A496;ASD 1;
IR02A496/INMAYEBAW;IR02A496;CIHERANG;
IR04A115/IR06F148;IR02A496;INMAYEBAW;
IR04A115/IR06F393;IR04A115;IR06F148;
IR04A115/IR06F459;IR04A115;IR06F393;
IRRI 151/IRRI 149;IR04A115;IR06F459;
IRRI 151/IR07F297;IRRI 151;IRRI 149;
IRRI 151/IR10F221;IRRI 151;IR07F297;
IR05N412/IR10F379;IRRI 151;IR10F221;
IR05N412/IR10F382;IR05N412;IR10F379;
IR05N412/IR10F388;IR05N412;IR10F382;
IR05N419/IR10F402;IR05N412;IR10F388;
IR05N419/IR 87707-446-B-B-B;IR05N419;IR10F402;
IR05N419/IR 88633:1-66-B-1-B;IR05N419;IR 87707-446-B-B-B;
IR06A145/IR 93312-30-101-20-3-66-6;IR06A145;IR 93312-30-101-20-13-64-21;
IR06A145/IR10L137;IR06A145;IR 93312-30-101-20-3-66-6;
IR06A150/IR10L149;IR06A145;IR10L137;
IR06A150/IR 50;IR06A150;IR10L149;
IR06A150/IR 66;IR06A150;IR 50;
IR06N170/KALA RATA 1-24;IR06A150;IR 66;
IR06N170/KHAIYAN;IR06N170;KALA RATA 1-24;
IR06N170/KHO;IR06N170;KHAIYAN;
IR06N209/IR 97703-457-42-13;IR06N170;KHO;
IR06N209/IR 97703-468-21-39;IR06N209;IR 97703-457-42-13;
IR06N209/MANAWTHUKHA;IR06N209;IR 97703-468-21-39;
IR06N234/IRRI 127;IR06N209;MANAWTHUKHA;
IR06N234/IRRI 134;IR06N234;IRRI 127;
IR06N234/MA ZHAN (RED);IR06N234;IRRI 134;
IR08A172/MEKONGGA;IR06N234;MA ZHAN (RED);
IR08A172/MTU 1010;IR08A172;MEKONGGA;
IR08A172/NANHI;IR08A172;MTU 1010;
IR08N134/NSICRC 112;IR08A172;NANHI;
IR08N134/NSIC RC 146;IR08N134;NSICRC 112;
IR08N134/OM 4498;IR08N134;NSIC RC 146;
IR08N136/PH 218-5-3-1;IR08N134;OM 4498;
IR08N136/TKM 9;IR08N136;SAN HUANG ZHAN NO 2;
IR08N185/A 69-1;IR08N136;TKM 9;
IR08N185/BINADHAN 7;IR08N185;AZUCENA;
IR09A104/BR 28;IR08N185;BINADHAN 7;
IR09A104/BR 29;IR09A104;BR 28;
IR09A104/CAPSULE;IR09A104;BR 29;
IR09A136/CHERIVIRUPPU;IR09A104;CAPSULE;
IR09A136/CSR 36;IR09A136;CHERIVIRUPPU;
IR09A136/IR 66946-3R-116-1-1;IR09A136;CSR 36;
IR09N274/IR 66946-3R-149-1-1;IR09A136;IR 66946-3R-116-1-1;
IR09N274/IR 29;IR09N274;IR 66946-3R-149-1-1;
IR09N274/IR 55179-3B-11-3;IR09N274;IR 29;
IR09N473/IR03W134;IR09N274;IR 55179-3B-11-3;
IR09N473/IR 87969-B-SDO 6-3-2-B;IR09N473;IR03W134;
IR09N473/IR06M139;IR09N473;IR 87969-B-SDO 6-3-2-B;
IR09N499/IR06M143;IR09N473;IR06M139;
IR09N499/IR 58443-6B-10-3;IR09N499;IR06M143;
IR09N499/IRRI 147;IR09N499;IR 58443-6B-10-3;
IR09N500/IR 70023-4B-R-12-3-1;IR09N499;IRRI 147;
IR09N500/IRRI 165;IR09N500;IR 70023-4B-R-12-3-1;
IR09N500/IR10F339;IR09N500;IRRI 165;
IR09N522/IR10F365;IR09N500;IR10F339;
IR09N522/IR10F469;IR09N522;IR10F365;
IR09N522/IR10F501;IR09N522;IR10F469;
IR09N542/IR10F548;IR09N522;IR10F501;
IR09N542/IR10F558;IR09N542;IR10F548;
IR09N542/IR10F595;IR09N542;IR10F558;
IR10F290/IR10F616;IR09N542;IR10F595;
IR10F290/IR10F627;IR10F290;IR10F616;
IR10F290/IR10F629;IR10F290;IR10F627;
IR10F388/IR10F630;IR10F290;IR10F629;
IR10F388/IR10F699;IR10F388;IR10F630;
IR10F388/ASD 1;IR10F388;IR10F699;
IR10M122/CIHERANG;IR10F388;ASD 1;
IR10M122/INMAYEBAW;IR10M122;CIHERANG;
IR10M122/IR06F148;IR10M122;INMAYEBAW;
IR10M144/IR06F393;IR10M122;IR06F148;
IR10M144/IR06F459;IR10M144;IR06F393;
IR10M144/IRRI 149;IR10M144;IR06F459;
IR10N105/IR07F297;IR10M144;IRRI 149;
IR10N105/IR10F221;IR10N105;IR07F297;
IR10N105/IR10F379;IR10N105;IR10F221;
IR10N108/IR10F382;IR10N105;IR10F379;
IR10N108/IR10F388;IR10N108;IR10F382;
IR10N108/IR10F402;IR10N108;IR10F388;
IR10N184/IR 87707-446-B-B-B;IR10N108;IR10F402;
IR10N226/IR 93312-30-101-20-3-66-6;IR10N225;IR 93312-30-101-20-13-64-21;
IR10N226/IR10L137;IR10N226;IR 93312-30-101-20-3-66-6;
IR10N226/IR10L149;IR10N226;IR10L137;
IR10N277/IR 50;IR10N226;IR10L149;
IR10N277/IR 66;IR10N277;IR 50;
IR10N277/KALA RATA 1-24;IR10N277;IR 66;
IR10N303/KHAIYAN;IR10N277;KALA RATA 1-24;
