N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,Samplex,IR3000001 - UBN3,2,"IR^3000001 - UBN3	;space expected between IR and plant number#IR3000001 ^- UBN3	;unexpected space is found at the end of the token#IR3000001 ^- UBN3	;string pattern not recognized. #IR3000001 - ^UBN3	;unexpected space is found at the start of the token#IR3000001 - UBN3^	;string pattern not recognized. #",N/A,IR64 - 64 -4B ,3,"IR^64 - 64 -4B 	;space expected between IR and plant number#IR64 ^- 64 -4B 	;unexpected space is found at the end of the token#IR64 ^- 64 -4B 	;string pattern not recognized. #IR64 - ^64 -4B 	;unexpected space is found at the start of the token#IR64 - 64 ^-4B 	;unexpected space is found at the end of the token#IR64 - 64 ^-4B 	;string pattern not recognized. #IR64 - 64 -4B ^	;unexpected space is found at the end of the token#IR64 - 64 -4B ^	;string pattern not recognized. #",N/A
N/A,Sample2,IR05U121,4,in standardized format,"IR05U121",IR06H101S,5,in standardized format,"IR06H101S
Sample2"
N/A,Sample3,IR06H101,6,in standardized format,"IR06H101",IR 88888-C3-11,7,in standardized format,"IR 88888#IR 88888-C3#IR 88888-C3-11
Sample3"
N/A,Sample4,IR88888 - UBN3 -4 B- 897 ,8,"IR^88888 - UBN3 -4 B- 897 	;space expected between IR and plant number#IR88888 ^- UBN3 -4 B- 897 	;unexpected space is found at the end of the token#IR88888 ^- UBN3 -4 B- 897 	;string pattern not recognized. #IR88888 - ^UBN3 -4 B- 897 	;unexpected space is found at the start of the token#IR88888 - UBN3 ^-4 B- 897 	;unexpected space is found at the end of the token#IR88888 - UBN3 ^-4 B- 897 	;string pattern not recognized. #IR88888 - UBN3 -4 ^B- 897 	;unexpected space is found between number of bulks and the bulk code#IR88888 - UBN3 -4 B^- 897 	;string pattern not recognized. #IR88888 - UBN3 -4 B- ^897 	;unexpected space is found at the start of the token#IR88888 - UBN3 -4 B- 897 ^	;unexpected space is found at the end of the token#IR88888 - UBN3 -4 B- 897 ^	;string pattern not recognized. #",N/A,IR64 - 64 -4B ,9,"IR^64 - 64 -4B 	;space expected between IR and plant number#IR64 ^- 64 -4B 	;unexpected space is found at the end of the token#IR64 ^- 64 -4B 	;string pattern not recognized. #IR64 - ^64 -4B 	;unexpected space is found at the start of the token#IR64 - 64 ^-4B 	;unexpected space is found at the end of the token#IR64 - 64 ^-4B 	;string pattern not recognized. #IR64 - 64 -4B ^	;unexpected space is found at the end of the token#IR64 - 64 -4B ^	;string pattern not recognized. #",N/A
N/A,Sample5,IR9 - AJY7K-4B -7777,10,"IR^9 - AJY7K-4B -7777	;space expected between IR and plant number#IR9 ^- AJY7K-4B -7777	;unexpected space is found at the end of the token#IR9 ^- AJY7K-4B -7777	;string pattern not recognized. #IR9 - ^AJY7K-4B -7777	;unexpected space is found at the start of the token#IR9 - AJY7K^-4B -7777	;string pattern not recognized. #IR9 - AJY7K-4B ^-7777	;unexpected space is found at the end of the token#IR9 - AJY7K-4B ^-7777	;string pattern not recognized. #",N/A,IR 64,11,in standardized format,"IR 64
Sample5"
N/A,IR02A127/IR10F630,IR02A127,12,in standardized format,"IR02A127",IR10F629,13,in standardized format,"IR10F629
IR02A127/IR10F630"
N/A,IR02A127/IR10F699,IR02A127,14,in standardized format,"IR02A127",IR10F630,15,in standardized format,"IR10F630
IR02A127/IR10F699"
N/A,IR02A496/ASD 1,IR02A127,16,in standardized format,"IR02A127",IR10F699,17,in standardized format,"IR10F699
IR02A496/ASD 1"
N/A,IR02A496/CIHERANG,IR02A496,18,in standardized format,"IR02A496",ASD 1,19,in standardized format,"ASD 1
IR02A496/CIHERANG"
N/A,IR02A496/INMAYEBAW,IR02A496,20,in standardized format,"IR02A496",CIHERANG,21,in standardized format,"CIHERANG
IR02A496/INMAYEBAW"
