2,IR05U121,IR05U121,-44,105,Male complex top cross,33,Myanmar,0,0
3,IR06H101S,IR06H101S,-45,105,Male complex top cross,33,Myanmar,0,0
2/3,IR05U121/IR06H101S,Sample2,-68,101,Single cross,1,Afghanistan,-44,-45
6,IR 88888-UBN 3-4B-897,IR 88888-UBN 3-4B-897,-34,206,Selected bulk,33,Myanmar,-31,-33
6,IR 88888-UBN 3-4B-897,IR 88888-UBN 3-4B,-33,206,Selected bulk,33,Myanmar,-31,-32
6,IR 88888-UBN 3-4B-897,IR 88888-UBN 3,-32,105,Male complex top cross,33,Myanmar,-31,-31
6,IR 88888-UBN 3-4B-897,IR 88888,-31,206,Selected bulk,33,Myanmar,0,0
7,IR 64-64-4B,IR 64-64-4B,CHOOSE GID,N/A,N/A,N/A,N/A,N/A,N/A
7,IR 64-64-4B,IR 64-64,NOT SET,N/A,N/A,N/A,N/A,N/A,N/A
7,IR 64-64-4B,IR 64,NOT SET,N/A,N/A,N/A,N/A,N/A,N/A
6/7,IR 88888-UBN 3-4B-897/IR 64-64-4B,Sample4,NOT SET,N/A,N/A,N/A,N/A,N/A,N/A
