YEAR ,Cross location (ICIS LOCID),CROSS   NO,,FEMALE PARENT,, MALE PARENT ,,REMARKS
2000,10277,PR35471,,IR73439-11-1-3-1/PR31561-AR,,IR73888-1-2-7/IR72,,
2000,10277,PR35476,,IR79128A,,PR31968-3-1,,
2000,10277,PR35477,,IR79128A,,PR34146-15-2-5,,
2000,10277,PR35478,,IR79128A,,Mestizo DL-26-13,,
2000,10277,PR35479,,IR79128A,,CN1224-70-75,,
2000,10277,PR35480,,IR79128A,,IET 11768 (RP 2397-432-406-48),,
2000,10277,PR35481,,IR79128A,,PR30996-2-2,,
2000,10277,PR35482,,IR79128A,,PR33329-10-4,,
2000,10277,PR35483,,IR79128A,,PR35015-36-1,,
2000,10277,PR35484,,IR79128A,,PR35112-3-1-1,,
2000,10277,PR35485,,IR79128A,,PR35112-3-1-1,,
2000,10277,PR35486,,IR79128A,,PR-C8787-WH-7-1-3,,
2000,10277,PR35487,,IR73321A,,PR30996-2-1,,
2000,10277,PR35488,,IR73321A,,PR30997-5B-24-3-2-1,,
2000,10277,PR35489,,IR73321A,,PR33329-10-1-1-4,,
2000,10277,PR35490,,IR73321A,,PR34201-B-16-1,,
2000,10277,PR35491,,IR73321A,,PSB RC 18,,
2000,10277,PR35492,,IR73321A,,PSB RC 18,,
2000,10277,PR35493,,IR73321A,,PR26198-9-1-1-1-1-1-4-1-2-4,,
2000,10277,PR35494,,IR73321A,,C7176-B-2-3,,
2000,10277,PR35495,,IR68902A,,Mestizo DL-26-1-3,,
2000,10277,PR35496,,IR68902A,,PR34519-13-1,,
2000,10277,PR35497,,IR68902A,,PR30975-16-2-1,,
2000,10277,PR35498,,IR68902A,,PR34201-2B-3-1-1,,
2000,10277,PR35499,,IR68902A,,PR30648-5-4-5MB-2-2 MB,,
2000,10277,PR35500,,IR68902A,,PR34736-3-2-1-1,,
2000,10277,PR35501,,IR68902A,,PR30536-B-48-1,,
,,PR35502,,IR80156A,,PR33163-2-3-1,,
,,PR35503,,IR80156A,,PR3159-32-1-4,,
,,PR35504,,IR80156A,,PR33319-9-1-1-5-2-1,,
,,PR35505,,IR80156A,,PR31980-45-1-2,,
,,PR35506,,IR80156A,,C7176-B-2-3,,
,,PR35507,,PR13A,,PR30648-5-4-5 MB-52-2-MB-1,,
,,PR35508,,PR13A,,BG 0305,,
,,PR35509,,PR13A,,PR31980-45-1-2,,
,,PR35510,,PR13A,,PR-C8504WH-20-3-1,,
,,PR35511,,PR2A,,Mestizo DL-26-1-3,,
,,PR35512,,PR2A,,PR34159-40-1-1,,
,,PR35513,,PR2A,,PR314159-13-1,,
,,PR35514,,PR2A,,PR30179-70-2,,
,,PR35515,,PR2A,,PR31159-32-1-4,,
,,PR35516,,PR2A,,PR35071-5-2-4,,
,,PR35517,,PR2A,,PR35017-1-6-1-1,,
,,PR35518,,PR2A,,C6472-B-2-1-2-1,,
,,PR35519,,IR79123A,,PR34146-15-2-5,,
,,PR35520,,IR79123A,,PR329695-13-13-1-3-2,,
,,PR35521,,IR79123A,,C7176-13-2-3,,
,,PR35522,,PR9A,,PR31359-11-1,,
,,PR35523,,PR9A,,PR33320-13-1-3-5-2-1,,
,,PR35524,,PR9A,,PR31357-4-3-3-1-1-1-7,,
,,PR35525,,PR9A,,PR30998-5B-34-1-4,,
,,PR35526,,PR9A,,PR31968-3-1,,
,,PR35527,,PR9A,,PR34146-15-2-5,,
,,PR35528,,PR9A,,PR34141-43-2-1,,
,,PR35529,,IR69626,,PR32017-3-B-B,,
,,PR35530,,IR69626A,,PR34736-3-1-1-2,,
,,PR35531,,IR69626A,,C7176-B-2-3,,
,,PR35532,,IR69626A,,IR77479-8-3-2-1,,
,,PR35533,,IR72079A,,PR34151-43-2-5,,
,,PR35534,,IR72079A,,PSB RC 18,,
,,PR35535,,IR72079A,,PR31954-8-B-B,,
,,PR35536,,PR3A,,PR33318-17-4-1,,
,,PR35537,,PR3A,,PR34159-40-1-1,,
,,PR35538,,PR3A,,PR34151-43-2-5,,
,,PR35539,,PR3A,,PR34141-43-2-1,,
,,PR35540,,PR3A,,PR32017-3-B-B,,
